data,conta,descricao,moeda,valor,horario
2023-01-01,Banco A,Salário USD,USD,5000.00,08:00:00
2023-01-02,Banco B,Compra no Cartão de Crédito,USD,-100.00,12:30:00
2023-01-03,Banco A,Transferência para Investimento,USD,-1500.00,15:45:00
2023-01-05,Banco C,Compra no Cartão de Crédito,EUR,-80.00,10:20:00
2023-01-10,Banco A,Depósito em Conta,USD,2000.00,09:10:00
2023-01-15,Banco B,Compra no Cartão de Crédito,USD,-50.00,14:55:00
2023-01-20,Banco C,Compra no Cartão de Crédito,EUR,-100.00,11:40:00
2023-01-25,Banco A,Transferência para Investimento,USD,-1000.00,04:30:00
2023-02-01,Banco A,Salário USD,USD,5000.00,08:00:00
2023-02-05,Banco C,Compra no Cartão de Crédito,EUR,-120.00,12:15:00
2023-02-10,Banco A,Depósito em Conta,USD,1500.00,10:05:00
2023-02-15,Banco B,Compra no Cartão de Crédito,USD,-70.00,14:20:00
2023-02-20,Banco C,Compra no Cartão de Crédito,EUR,-90.00,09:45:00
2023-02-25,Banco A,Transferência para Investimento,USD,-800.00,16:00:00
2023-03-01,Banco A,Salário USD,USD,5000.00,08:00:00
2023-03-05,Banco C,Compra no Cartão de Crédito,EUR,-110.00,12:30:00
2023-03-10,Banco A,Depósito em Conta,USD,1800.00,09:20:00
2023-03-15,Banco B,Compra no Cartão de Crédito,USD,-60.00,15:10:00
2023-03-20,Banco C,Compra no Cartão de Crédito,EUR,-95.00,11:35:00
2023-03-25,Banco A,Transferência para Investimento,USD,-900.00,03:45:00
2023-04-01,Banco A,Salário USD,USD,5000.00,08:00:00
2023-04-05,Banco C,Compra no Cartão de Crédito,EUR,-130.00,12:15:00
2023-04-10,Banco A,Depósito em Conta,USD,1600.00,10:00:00
2023-04-15,Banco B,Compra no Cartão de Crédito,USD,-80.00,14:40:00
2023-04-20,Banco C,Compra no Cartão de Crédito,EUR,-85.00,09:50:00
2023-04-25,Banco A,Transferência para Investimento,USD,-950.00,16:20:00
2023-05-01,Banco A,Salário USD,USD,5000.00,08:00:00
2023-05-05,Banco C,Compra no Cartão de Crédito,EUR,-140.00,12:30:00
2023-05-10,Banco A,Depósito em Conta,USD,1700.00,02:15:00
2023-05-15,Banco B,Compra no Cartão de Crédito,USD,-90.00,15:00:00
2023-05-20,Banco C,Compra no Cartão de Crédito,EUR,-75.00,11:25:00
2023-05-25,Banco A,Transferência para Investimento,USD,-850.00,16:35:00
2023-06-01,Banco A,Salário USD,USD,5000.00,08:00:00
2023-06-05,Banco C,Compra no Cartão de Crédito,EUR,-120.00,12:45:00
2023-06-10,Banco A,Depósito em Conta,USD,1900.00,10:30:00
2023-06-15,Banco B,Compra no Cartão de Crédito,USD,-100.00,14:50:00
2023-06-20,Banco C,Compra no Cartão de Crédito,EUR,-80.00,03:10:00
2023-06-25,Banco A,Transferência para Investimento,USD,-800.00,16:10:00
2023-07-01,Banco A,Salário USD,USD,5000.00,08:00:00
2023-07-05,Banco C,Compra no Cartão de Crédito,EUR,-110.00,12:20:00
2023-07-10,Banco A,Depósito em Conta,USD,2000.00,10:10:00
2023-07-15,Banco B,Compra no Cartão de Crédito,USD,-120.00,15:05:00
2023-07-20,Banco C,Compra no Cartão de Crédito,EUR,-90.00,11:30:00
2023-07-25,Banco A,Transferência para Investimento,USD,-950.00,04:50:00
